Titel,Journal,Year,Autoren,doi,pmid,Quelle,doi_norm,Titel_norm,Inkludiere_Titel_Abstract,Inkludiere_Volltext,Erster_Ausschlussgrund,Zweiter_Ausschlussgrund,Dritter_Ausschlussgrund,Vierter_Ausschlussgrund,Notizen
50 Workouts - HIIT und Tabata,,2018,"Herdener, L.",,,SPONET,,50 workouts hiit und tabata,Nein,Nein,Review / Kein Originalartikel,Kein Interventionsdesign,,,
"8th International Congress Mountain Sport & Health. Updating Study and Research from Laboratory to Field. 7-8 November 2019, Rovereto (TN) - Italy. Programme and Book of Abstracts",,2019,,,,SPONET,,8th international congress mountain sport health updating study and research from laboratory to field 7 8 november 2019 rovereto tn italy programme and book of abstracts,Nein,Nein,Review / Kein Originalartikel,Kein Interventionsdesign,Keine Kombination von Krafttraining und HIIT,,
A Brief Review on Concurrent Training: From Laboratory to the Field,,2018,Spyridon Methenitis,,,BASE,,a brief review on concurrent training from laboratory to the field,Nein,Nein,Review / Kein Originalartikel,,,,
"A High-Intensity versus Moderate-Intensity Exercise Training Programme in Alpha-1 Antitrypsin Deficiency-Related COPD (IMAC): A Randomized, Controlled Trial.",Respiration; international review of thoracic diseases,2025,Jarosch I; Schneeberger T; Gloeckl R; Kroll D; Dennis C; Hitzl W; Kenn K; Koczulla AR,10.1159/000541448,39427652,PubMed,10.1159/000541448,a high intensity versus moderate intensity exercise training programme in alpha 1 antitrypsin deficiency related copd imac a randomized controlled trial,Nein,Nein,Falsche Population,Reihenfolge nicht untersucht,Keine Kraft- und/oder Power-Outcome,,
A multi-disciplinary approach to alternative training methods for endurance athletes and their relationship with performance,,2013,"Ni Cheilleachair, N.",,,SPONET,,a multi disciplinary approach to alternative training methods for endurance athletes and their relationship with performance,Nein,Nein,Kein Kraft- und/oder Power-Outcome,Keine Kombination von Krafttraining und HIIT,,,
A primer on global molecular responses to exercise in skeletal muscle: Omics in focus,Journal of Sport and Health Science,2025,"Murach, Kevin A.; Bagley, James R.",https://doi.org/10.1016/j.jshs.2025.101029,,ScienceDirect,10.1016/j.jshs.2025.101029,a primer on global molecular responses to exercise in skeletal muscle omics in focus,Nein,Nein,Review / Kein Originalartikel,,,,
A review of kettlebell research and its implications for exercise programming,,2017,"Mortara, A. J.; Dalessio, M. A.; Rothwell, K. E. A.",10.31031/rism.2017.01.000510,,SPONET,10.31031/rism.2017.01.000510,a review of kettlebell research and its implications for exercise programming,Nein,Nein,Review / Kein Originalartikel,Keine Kombination von Krafttraining und HIIT,Keine Kraft- und/oder Power-Outcome,,
A scientific approach to improve physiological capacity of an elite cyclist,,2018,"Rønnestad, B. R.; Hansen, J.",10.1123/ijspp.2017-0228,,SPONET,10.1123/ijspp.2017-0228,a scientific approach to improve physiological capacity of an elite cyclist,Nein,Nein,Keine Kombination von Krafttraining und HIIT,Kein Interventionsdesign,,,
A successful formula for middle distance training,,1997,"Paish, W.",,,SPONET,,a successful formula for middle distance training,Nein,Nein,Review / Kein Originalartikel,,,,
"Acute Cardiopulmonary, Metabolic, and Neuromuscular Responses to Severe-Intensity Intermittent Exercises.",Journal of strength and conditioning research,2019,Lisbôa FD; Raimundo JAG; Salvador AF; Pereira KL; Turnes T; Diefenthaeler F; Oliveira MFM; Caputo F,10.1519/JSC.0000000000002130,28704307,PubMed,10.1519/jsc.0000000000002130,acute cardiopulmonary metabolic and neuromuscular responses to severe intensity intermittent exercises,Nein,Nein,Keine Kombination von Krafttraining und HIIT,Kein Kraft- und/oder Power-Outcome,,,
"Acute cardiopulmonary responses to strength training, high-intensity interval training and moderate-intensity continuous training",,2019,"Falz, R.; Fikenzer, S.; Holzer, R.; Laufs, U.; Fikenzer, K.; Busse, M.",10.1007/s00421-019-04138-1,,SPONET,10.1007/s00421-019-04138-1,acute cardiopulmonary responses to strength training high intensity interval training and moderate intensity continuous training,Nein,Nein,Kein Kraft- und/oder Power-Outcome,Keine Kombination von Krafttraining und HIIT,,,
Acute effects of combined cycling and plyometrics on vertical jump performance in active males.,Biology of sport,2023,González-Mohíno F; Rodrigo-Carranza V; Rodríguez-Barbero S; Turner A; González-Ravé JM,10.5114/biolsport.2023.119989,37398949,PubMed,10.5114/biolsport.2023.119989,acute effects of combined cycling and plyometrics on vertical jump performance in active males,Nein,Nein,Keine Kombination von Krafttraining und HIIT,,,,
Acute effects of combined lower-body high-intensity interval training and upper-body strength exercise on explosive strength performance in naturally menstruating women,,2023,"Feuerbacher, J. F.; Dragutinovic, B.; Jacobs, M. W.; Schumann, M.",10.1123/ijspp.2022-0377,,SPONET,10.1123/ijspp.2022-0377,acute effects of combined lower body high intensity interval training and upper body strength exercise on explosive strength performance in naturally menstruating women,Nein,Nein,Falsche Population,Reihenfolge nicht untersucht,,,
Acute Effects of Concurrent High-Intensity Interval Cycling and Bench-Press Loading on Upper- and Lower-Body Explosive Strength Performance.,International journal of sports physiology and performance,2022,Dragutinovic B; Feuerbacher JF; Jacobs MW; Bloch W; Schumann M,10.1123/ijspp.2021-0571,35418511,PubMed,10.1123/ijspp.2021-0571,acute effects of concurrent high intensity interval cycling and bench press loading on upper and lower body explosive strength performance,Ja,Nein,Reihenfolge nicht untersucht,,,,
Acute Effects of Continuous and Intermittent Blood Flow Restriction on Sprint Interval Performance and Muscle Oxygen Responses.,Journal of strength and conditioning research,2023,Wizenberg AM; Gonzalez-Rojas D; Rivera PM; Proppe CE; Laurel KP; Stout JR; Fukuda DH; Billaut F; Keller JL; Hill EC,10.1519/JSC.0000000000004518,37639655,PubMed,10.1519/jsc.0000000000004518,acute effects of continuous and intermittent blood flow restriction on sprint interval performance and muscle oxygen responses,Nein,Nein,Keine Kombination von Krafttraining und HIIT,,,,
"Acute Effects of Two Different Concurrent Training Models on Physiological Parameters, Explosive Strenght and Balance Performance in Soccer Players",,2024,Fatih Koçak; Salih Pinar; Birgül Arslan,,,BASE,,acute effects of two different concurrent training models on physiological parameters explosive strenght and balance performance in soccer players,Nein,Nein,Reihenfolge nicht untersucht,,,,
Acute Resistance Exercise Reduces Postprandial Lipemia and Oxidative Stress in Resistance-Trained Men.,Journal of strength and conditioning research,2022,McAllister MJ; Steadman KS; Renteria LI; Case MJ; Butawan MB; Bloomer RJ; McCurdy KW,10.1519/JSC.0000000000003831,33009352,PubMed,10.1519/jsc.0000000000003831,acute resistance exercise reduces postprandial lipemia and oxidative stress in resistance trained men,Nein,Nein,Keine Kombination von Krafttraining und HIIT,Kein Kraft- und/oder Power-Outcome,,,
"Adaptations in mechanical muscle function, muscle morphology, and aerobic power to high-intensity endurance training combined with either traditional or power strength training in older adults: a randomized clinical trial.",,2020,"Müller, Diana Carolina; Izquierdo, Mikel; Boeno, Francesco Pinto; Aagaard, Per; Teodoro, Juliana Lopes; Grazioli, Rafael; Radaelli, Regis; Bayer, Henrique; Neske, Rodrigo; Pinto, Ronei Silveira; Cadore, Eduardo Lusa",,,BASE,,adaptations in mechanical muscle function muscle morphology and aerobic power to high intensity endurance training combined with either traditional or power strength training in older adults a randomized clinical trial,Nein,Nein,Falsche Population,,,,
Advanced strength and conditioning. An evidence-based approach,,2018,,,,SPONET,,advanced strength and conditioning an evidence based approach,Nein,Nein,Review / Kein Originalartikel,,,,
Allgemeine Aspekte des kombinierten Ausdauer- und Krafttrainings zur Steigerung der Leistungsfähigkeit in den Spielsportarten,,2023,"Robineau, J.",10.1007/978-3-031-36310-8_26,,SPONET,10.1007/978-3-031-36310-8_26,allgemeine aspekte des kombinierten ausdauer und krafttrainings zur steigerung der leistungsf higkeit in den spielsportarten,Nein,Nein,Review / Kein Originalartikel,Keine Kombination von Krafttraining und HIIT,,,
An Exploratory Study on Whether the Interference Effect Occurs When High-Intensity Strength Training Is Performed Prior to High-Intensity Interval Aerobic Training,,2024,Gabriel O. Bernedo; Luke J. Haseler; Kevin J. Netto; Dale W. Chapman,,,BASE,,an exploratory study on whether the interference effect occurs when high intensity strength training is performed prior to high intensity interval aerobic training,Ja,Nein,Reihenfolge nicht untersucht,,,,
